,timestamp,count of registered resources,count of fully available resources,count of resources pending transcoding,count of available versions
281.749020416,1418922814842780000,82,1,64,41
282.983746816,1418922816077500000,82,1,64,41
284.240648704,1418922817334410000,82,1,64,41
285.492068864,1418922818585830000,82,1,64,41
286.739940352,1418922819833700000,82,1,64,41
288.019299328,1418922821113060000,82,1,64,41
289.316673536,1418922822410430000,82,1,63,42
290.553798656,1418922823647560000,82,1,63,42
291.815097088,1418922824908850000,82,1,63,42
293.051835648,1418922826145590000,82,1,63,42
294.276643328,1418922827370400000,82,1,63,42
295.536094208,1418922828629850000,82,1,63,42
296.760161792,1418922829853920000,82,1,63,42
298.009314816,1418922831103070000,82,1,63,42
299.305038592,1418922832398800000,82,1,63,42
300.540693504,1418922833634450000,82,1,63,42
301.775563264,1418922834869320000,82,1,63,42
303.010039552,1418922836103800000,82,1,63,42
304.252454656,1418922837346210000,82,1,63,42
305.508337152,1418922838602090000,82,1,63,42
306.7443456,1418922839838100000,82,1,63,42
308.017754368,1418922841111510000,82,1,63,42
309.262923008,1418922842356680000,82,1,63,42
310.537774592,1418922843631530000,82,1,63,42
311.79358848,1418922844887350000,82,1,62,43
313.043595264,1418922846137350000,82,1,61,44
314.282295808,1418922847376050000,82,1,61,44
315.565711616,1418922848659470000,83,1,62,44
316.83363584,1418922849927390000,83,1,62,44
318.073600768,1418922851167360000,83,1,62,44
319.316443136,1418922852410200000,84,1,63,44
320.58651392,1418922853680270000,84,1,62,45
321.825788416,1418922854919550000,84,1,62,46
323.087765248,1418922856181520000,84,1,62,46
324.330723328,1418922857424480000,84,1,62,46
325.638155776,1418922858731910000,84,1,62,46
326.882635264,1418922859976390000,84,1,62,46
328.127233536,1418922861220990000,84,1,62,46
329.376008192,1418922862469770000,84,1,62,46
330.645499904,1418922863739260000,84,1,62,46
331.917411072,1418922865011170000,84,1,62,46
333.189769472,1418922866283530000,84,1,62,46
334.452166144,1418922867545920000,84,1,62,47
335.725757696,1418922868819510000,84,1,62,47
336.974106624,1418922870067860000,84,1,62,47
338.214296064,1418922871308050000,84,1,62,47
339.462690816,1418922872556450000,84,1,62,47
340.715014144,1418922873808770000,84,1,61,48
341.962607616,1418922875056360000,84,1,61,48
343.244604928,1418922876338360000,85,1,62,48
344.50764288,1418922877601400000,85,1,62,48
345.815448832,1418922878909210000,85,1,60,50
347.067333632,1418922880161090000,85,1,60,50
348.40822656,1418922881501980000,86,1,61,50
349.692185856,1418922882785940000,86,1,61,51
351.016236544,1418922884109990000,86,1,61,51
352.270940928,1418922885364700000,86,1,61,51
353.554226432,1418922886647980000,86,1,61,51
354.875060736,1418922887968820000,86,1,61,51
356.163314944,1418922889257070000,86,1,61,51
357.446036992,1418922890539790000,86,1,61,51
358.779600128,1418922891873360000,86,1,61,51
360.036921344,1418922893130680000,86,1,61,51
361.308069376,1418922894401830000,86,1,61,51
362.581116672,1418922895674870000,86,1,61,51
363.836022528,1418922896929780000,86,1,61,51
365.089022464,1418922898182780000,86,1,61,51
366.359993088,1418922899453750000,86,1,61,51
367.654692352,1418922900748450000,86,1,61,52
368.923533312,1418922902017290000,86,1,61,53
370.215205376,1418922903308960000,86,1,61,53
371.483484416,1418922904577240000,86,1,61,53
372.780202752,1418922905873960000,86,1,61,53
374.065444864,1418922907159200000,86,1,61,53
375.381807872,1418922908475560000,86,1,61,53
376.643399936,1418922909737160000,86,1,61,53
377.91294464,1418922911006700000,86,1,61,53
379.176081408,1418922912269840000,86,1,61,53
380.471635968,1418922913565390000,86,1,61,53
381.742400768,1418922914836160000,86,1,61,53
383.040461568,1418922916134220000,86,1,60,54
384.325629952,1418922917419390000,86,1,60,54
385.586478336,1418922918680240000,86,1,60,54
386.848592896,1418922919942350000,86,1,60,54
388.114317056,1418922921208070000,86,1,60,54
389.396184064,1418922922489940000,86,1,60,54
390.698577408,1418922923792330000,86,1,60,54
392.000015616,1418922925093770000,86,1,60,54
393.316798208,1418922926410560000,86,1,60,54
394.630794752,1418922927724550000,86,1,60,54
396.01072128,1418922929104480000,86,1,60,54
397.283620352,1418922930377380000,86,1,60,54
398.548098816,1418922931641860000,86,1,60,54
399.831191808,1418922932924950000,86,1,60,54
401.10053888,1418922934194300000,86,1,60,54
402.380200448,1418922935473960000,86,1,60,54
403.6902272,1418922936783980000,86,1,60,54
404.96668928,1418922938060450000,86,1,60,54
406.268012544,1418922939361770000,86,1,60,54
407.584716288,1418922940678470000,86,1,60,54
408.872066816,1418922941965820000,86,1,60,54
410.154510848,1418922943248270000,86,1,59,55
411.435103744,1418922944528860000,86,1,59,56
412.762902016,1418922945856660000,86,1,59,56
414.031611136,1418922947125370000,86,1,59,56
415.376562944,1418922948470320000,86,1,59,56
416.66590208,1418922949759660000,86,1,59,56
417.949965824,1418922951043720000,87,1,59,58
419.2167488,1418922952310510000,87,1,59,58
420.468449792,1418922953562210000,87,1,59,58
421.752891136,1418922954846650000,87,1,59,58
423.04919808,1418922956142960000,87,1,59,58
424.33796096,1418922957431720000,87,1,59,58
425.622691072,1418922958716450000,87,1,59,58
426.890693376,1418922959984450000,87,1,59,58
428.159392256,1418922961253150000,87,1,59,58
429.428147968,1418922962521900000,88,1,60,58
430.716112128,1418922963809870000,88,1,60,58
431.9959808,1418922965089740000,88,1,60,58
433.260198912,1418922966353960000,88,1,60,58
434.555364864,1418922967649120000,88,1,60,58
435.8394752,1418922968933230000,88,1,60,58
437.121119488,1418922970214880000,89,1,61,58
438.398511616,1418922971492270000,89,1,61,58
439.748246272,1418922972842000000,89,1,61,58
441.060352768,1418922974154110000,89,1,61,58
442.405855488,1418922975499610000,89,1,61,58
443.693642496,1418922976787400000,89,1,61,58
445.03205632,1418922978125810000,89,1,61,58
446.376617984,1418922979470370000,89,1,60,59
447.680013056,1418922980773770000,89,1,60,59
448.980541184,1418922982074300000,89,1,60,59
450.29948672,1418922983393240000,89,1,60,59
451.570433536,1418922984664190000,89,1,60,59
452.950568448,1418922986044330000,89,1,60,59
454.247013888,1418922987340770000,89,1,60,59
