timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1418909108033,5949,HTTP Request,200,OK,Thread Group 1-5,bin,true,5511377,5,5,182
1418909115123,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,Thread Group 1-1,text,false,1919,5,5,0
1418909114715,5428,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,5,5,23
1418909115943,4476,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511381,5,5,25
1418909115306,5962,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511381,5,5,25
1418909116410,5652,HTTP Request,200,OK,Thread Group 1-5,bin,true,5511377,5,5,192
1418909116474,9979,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,5,5,2330
1418909120809,5989,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,5,5,44
1418909121664,6692,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511377,5,5,200
1418909122122,7205,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511381,5,5,56
1418909122388,9002,HTTP Request,200,OK,Thread Group 1-5,bin,true,5511381,5,5,64
1418909128002,7339,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,5,5,71
1418909128600,6930,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,5,5,72
1418909130204,6233,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511381,5,5,72
1418909129002,8218,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511377,5,5,233
1418909132320,6997,HTTP Request,200,OK,Thread Group 1-5,bin,true,5511377,5,5,288
1418909137215,5374,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511377,5,5,179
1418909136510,6668,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,5,5,33
1418909138096,5376,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511381,5,5,43
1418909138404,6910,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511381,5,5,61
1418909141440,7082,HTTP Request,200,OK,Thread Group 1-5,bin,true,5511381,5,5,59
1418909143574,6145,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511381,5,5,31
1418909143774,6349,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511377,5,5,188
1418909144424,6653,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,5,5,48
1418909146389,6910,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511377,5,5,243
1418909149604,4035,HTTP Request,200,OK,Thread Group 1-5,bin,true,5511381,5,5,46
1418909150413,5159,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,5,5,37
1418909150597,6473,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511377,5,5,175
1418909153039,4991,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,5,5,40
1418909154749,5196,HTTP Request,200,OK,Thread Group 1-5,bin,true,5511377,5,5,158
1418909156644,7000,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,5,5,44
1418909155268,10107,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511381,5,5,50
1418909159210,6372,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,5,5,35
1418909158959,7619,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511381,5,5,47
1418909160629,6745,HTTP Request,200,OK,Thread Group 1-5,bin,true,5511381,5,5,62
1418909165614,6633,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511377,5,5,217
1418909167469,5220,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511381,5,5,44
1418909164557,8852,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,5,5,83
1418909166781,7024,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511381,5,5,60
1418909174590,106,HTTP Request,502,Bad Gateway,Thread Group 1-2,text,false,290,5,5,3
1418909167687,7219,HTTP Request,200,OK,Thread Group 1-5,bin,true,5511381,5,5,64
1418909173710,2996,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511381,5,5,22
1418909174882,4550,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511381,5,5,22
1418909175084,5459,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511377,5,5,157
1418909176975,5110,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511377,5,5,174
1418909175037,9086,HTTP Request,200,OK,Thread Group 1-5,bin,true,5511381,5,5,29
1418909176319,8112,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,5,5,567
1418909179877,4956,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511381,5,5,51
1418909181079,4417,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,5,5,45
1418909184040,5080,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511377,5,5,214
1418909185460,4594,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511381,5,5,45
1418909186421,5151,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,5,5,50
1418909185158,6543,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,5,5,54
1418909184985,6906,HTTP Request,200,OK,Thread Group 1-5,bin,true,5511377,5,5,193
1418909192924,163,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,Thread Group 1-2,text,false,1919,5,5,0
1418909191761,1327,HTTP Request,Non HTTP response code: org.apache.http.ConnectionClosedException,Non HTTP response message: Premature end of Content-Length delimited message body (expected: 5510872; received: 1913592,Thread Group 1-3,text,false,1166,5,5,200
1418909191007,2081,HTTP Request,Non HTTP response code: org.apache.http.ConnectionClosedException,Non HTTP response message: Premature end of Content-Length delimited message body (expected: 5510872; received: 4153270,Thread Group 1-4,text,false,1166,5,5,44
1418909193531,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,Thread Group 1-1,text,false,1919,5,5,0
1418909193898,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: The target server failed to respond,Thread Group 1-5,text,false,1919,5,5,0
1418909193916,0,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-5,text,false,2028,5,5,0
1418909193967,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-2,text,false,2028,5,5,0
1418909194560,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-4,text,false,2028,5,5,0
1418909194621,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-3,text,false,2028,5,5,0
1418909195514,0,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-2,text,false,2028,5,5,0
1418909195644,2,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-4,text,false,2028,5,5,0
1418909195938,0,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-5,text,false,2028,5,5,0
1418909196318,0,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-1,text,false,2028,5,5,0
1418909196372,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-3,text,false,2028,5,5,0
1418909196408,0,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-2,text,false,2028,5,5,0
1418909196962,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-5,text,false,2028,5,5,0
1418909197024,0,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-4,text,false,2028,5,5,0
1418909197038,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-3,text,false,2028,5,5,0
1418909197281,0,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-4,text,false,2028,5,5,0
1418909197399,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-3,text,false,2028,5,5,0
1418909197472,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-2,text,false,2028,5,5,0
1418909197818,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-1,text,false,2028,5,5,0
1418909198320,0,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-1,text,false,2028,5,5,0
1418909198521,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-5,text,false,2028,5,5,0
1418909198523,0,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-1,text,false,2028,5,5,0
1418909198523,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-3,text,false,2028,5,5,0
1418909198522,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-2,text,false,2028,5,5,0
1418909198523,1,HTTP Request,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connection to http://pink:8080 refused,Thread Group 1-4,text,false,2028,5,5,0
1418909605751,1897,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511377,1,1,222
1418909607733,1800,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,1,1,27
1418909610495,2087,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,1,1,55
1418909613144,1655,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,1,1,25
1418909615022,2078,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511377,2,2,219
1418909617780,2056,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511377,2,2,211
1418909619091,1773,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,2,2,31
1418909620769,2016,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511377,2,2,159
1418909623596,1811,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,2,2,26
1418909624317,2899,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511377,2,2,184
1418909625704,2331,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,2,2,28
1418909627726,2666,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,3,3,28
1418909628397,3140,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,3,3,22
1418909629877,2808,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511381,3,3,47
1418909633408,3913,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511381,3,3,27
1418909633936,4108,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,3,3,36
1418909633849,4518,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,3,3,28
1418909639486,3652,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,4,4,19
1418909639527,3612,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511381,4,4,20
1418909641140,6442,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,4,4,48
1418909641184,7010,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511377,4,4,764
1418909643791,4543,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511381,4,4,33
1418909644658,5227,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511381,4,4,53
1418909648458,3940,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,4,4,38
1418909648409,4028,HTTP Request,200,OK,Thread Group 1-3,bin,true,5511381,4,4,22
1418909650455,4699,HTTP Request,200,OK,Thread Group 1-4,bin,true,5511377,5,5,152
1418909650162,7011,HTTP Request,200,OK,Thread Group 1-2,bin,true,5511377,5,5,174
1418909652444,5315,HTTP Request,200,OK,Thread Group 1-1,bin,true,5511381,5,5,29
